Cyber Resilience Assessment Framework (C-RAF) 2.0 Control Principle,,,,,
,,,,,
REF,Domain,Component,Sub-component,Maturity Level,Control Principle
1,Domain 1 Governance,1.1 Cyber resilience oversight,1.1.1 Board and Senior management oversight,Baseline,Designated members of management or an appropriate Board Committee are held accountable to the Board for implementing and managing cybersecurity and business continuity programmes.
2,Domain 1 Governance,1.1 Cyber resilience oversight,1.1.1 Board and Senior management oversight,Baseline,"Cybersecurity risks are included as agenda items in management meetings when prompted by highly visible cyber events or regulatory alerts. These updates may be presented by a senior representative with Technology Risk Management, Cybersecurity or Information Security function."
3,Domain 1 Governance,1.1 Cyber resilience oversight,1.1.1 Board and Senior management oversight,Intermediate,A cyber risk appetite statement is in place and approved by the board or an appropriate Board Committee.
4,Domain 1 Governance,1.1 Cyber resilience oversight,1.1.1 Board and Senior management oversight,Intermediate,The Board or an appropriate Board Committee has cybersecurity expertise or engages experts to provide assistance in oversight responsibilities.
5,Domain 1 Governance,1.1 Cyber resilience oversight,1.1.1 Board and Senior management oversight,Intermediate,"At least annually, the Board or an appropriate Board Committee reviews and approves the cybersecurity programme."
6,Domain 1 Governance,1.1 Cyber resilience oversight,1.1.1 Board and Senior management oversight,Intermediate,Management or a dedicated committee is responsible for ensuring compliance with legal and regulatory requirements related to cybersecurity.
7,Domain 1 Governance,1.1 Cyber resilience oversight,1.1.1 Board and Senior management oversight,Intermediate,A process is in place to ensure that cyber risks that exceed the AI’s risk appetite are escalated to management or a dedicated committee.
8,Domain 1 Governance,1.1 Cyber resilience oversight,1.1.1 Board and Senior management oversight,Advanced,The Board or an appropriate Board Committee has a process to ensure that management takes appropriate actions to address changing cyber risks or any significant cyber issues.
9,Domain 1 Governance,1.1 Cyber resilience oversight,1.1.1 Board and Senior management oversight,Advanced,Management has a formal process to continuously improve cybersecurity oversight.
10,Domain 1 Governance,1.1 Cyber resilience oversight,1.1.1 Board and Senior management oversight,Advanced,Management and the Board or an appropriate Board Committee hold business units accountable for effectively managing all cyber risks associated with their activities.
11,Domain 1 Governance,1.1 Cyber resilience oversight,1.1.2 Budgeting process,Baseline,"Cybersecurity resources, tools and staff are budgeted items, and are reviewed periodically as part of the budgeting process."
12,Domain 1 Governance,1.1 Cyber resilience oversight,1.1.2 Budgeting process,Baseline,A process is in place to formally discuss and estimate potential expenses of cybersecurity measures and loss associated with cyber incidents as part of the budgeting process.
